Sr. no.,DO Sowing,DO Harvesting,No. of seeds,DO Germination,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds
66,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
67,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
68,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
69,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
70,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
71,12-01-2023,02-05-2023,15,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,15
72,12-01-2023,02-05-2023,15,08-05-2023,14,10-05-2023,14,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
73,12-01-2023,02-05-2023,18,08-05-2023,18,10-05-2023,18,17-05-2023,18,22-05-2023,18,24-05-2023,18,26-05-2023,18,29-05-2023,18,31-05-2023,18,02-06-2023,18,05-06-2023,18,07-06-2023,18,09-06-2023,18,12-06-2023,18
74,12-01-2023,02-05-2023,15,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,12,09-06-2023,12,12-06-2023,15
75,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
76,12-01-2023,02-05-2023,18,08-05-2023,18,10-05-2023,18,17-05-2023,18,22-05-2023,18,24-05-2023,18,26-05-2023,18,29-05-2023,18,31-05-2023,18,02-06-2023,18,05-06-2023,18,07-06-2023,18,09-06-2023,18,12-06-2023,18
77,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
78,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
79,12-01-2023,02-05-2023,18,08-05-2023,17,10-05-2023,17,17-05-2023,17,22-05-2023,17,24-05-2023,17,26-05-2023,17,29-05-2023,17,31-05-2023,17,02-06-2023,17,05-06-2023,17,07-06-2023,17,09-06-2023,17,12-06-2023,18
80,12-01-2023,02-05-2023,22,08-05-2023,22,10-05-2023,22,17-05-2023,22,22-05-2023,22,24-05-2023,22,26-05-2023,22,29-05-2023,22,31-05-2023,22,02-06-2023,22,05-06-2023,22,07-06-2023,22,09-06-2023,22,12-06-2023,22
81,12-01-2023,02-05-2023,18,08-05-2023,18,10-05-2023,18,17-05-2023,18,22-05-2023,18,24-05-2023,18,26-05-2023,18,29-05-2023,18,31-05-2023,18,02-06-2023,18,05-06-2023,18,07-06-2023,18,09-06-2023,18,12-06-2023,18
82,12-01-2023,02-05-2023,15,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,2,05-06-2023,2,07-06-2023,3,09-06-2023,3,12-06-2023,15
