name,sowing_date,harvesting_date,total_seeds,date_of_germination,number_of_seeds
rill_no_123,12-01-2023,02-05-2023,16,24-05-2023,3
rill_no_123,12-01-2023,02-05-2023,16,26-05-2023,3
rill_no_123,12-01-2023,02-05-2023,16,29-05-2023,3
rill_no_123,12-01-2023,02-05-2023,16,31-05-2023,3
rill_no_123,12-01-2023,02-05-2023,16,02-06-2023,3
rill_no_123,12-01-2023,02-05-2023,16,05-06-2023,3
rill_no_123,12-01-2023,02-05-2023,16,07-06-2023,4
rill_no_123,12-01-2023,02-05-2023,16,09-06-2023,4
rill_no_123,12-01-2023,02-05-2023,16,12-06-2023,16
rill_no_124,12-01-2023,02-05-2023,15,08-05-2023,11
rill_no_124,12-01-2023,02-05-2023,15,10-05-2023,11
rill_no_124,12-01-2023,02-05-2023,15,17-05-2023,11
rill_no_124,12-01-2023,02-05-2023,15,22-05-2023,11
rill_no_124,12-01-2023,02-05-2023,15,24-05-2023,11
rill_no_124,12-01-2023,02-05-2023,15,26-05-2023,12
rill_no_124,12-01-2023,02-05-2023,15,29-05-2023,13
rill_no_124,12-01-2023,02-05-2023,15,31-05-2023,13
rill_no_124,12-01-2023,02-05-2023,15,02-06-2023,14
rill_no_124,12-01-2023,02-05-2023,15,05-06-2023,14
rill_no_124,12-01-2023,02-05-2023,15,07-06-2023,14
rill_no_124,12-01-2023,02-05-2023,15,09-06-2023,14
rill_no_124,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_125,12-01-2023,02-05-2023,6,08-05-2023,5
rill_no_125,12-01-2023,02-05-2023,6,10-05-2023,5
rill_no_125,12-01-2023,02-05-2023,6,17-05-2023,5
rill_no_125,12-01-2023,02-05-2023,6,22-05-2023,5
rill_no_125,12-01-2023,02-05-2023,6,24-05-2023,5
rill_no_125,12-01-2023,02-05-2023,6,26-05-2023,5
rill_no_125,12-01-2023,02-05-2023,6,29-05-2023,5
rill_no_125,12-01-2023,02-05-2023,6,31-05-2023,5
